sku,brand,category_id,category_name,reviews_count,rating_raw,rating_smoothed,base_score,final_score__soft,final_score__balanced,final_score__strict,final_score__very_strict
ECOFLOW Delta 2 MAX EU 2400 Вт / 4800 Вт/ 2048 Вт-год,EcoFlow,4,Зарядні станції,147,4.836734693877551,4.802573111710408,4.802573111710408,4.6734939849408095,4.475625301716594,4.041673589828833,3.564614257200009
EcoFlow DELTA 2 1024Wh | 1800W,EcoFlow,4,Зарядні станції,292,4.773972602739726,4.759710607870635,4.759710607870635,4.6611235572057454,4.505586623418948,4.137709320647292,3.725800871907606
EcoFlow DELTA 3 EU / 1800 Вт / 1024 Вт⋅год / LiFePO4 (EFDELTA3-EU),EcoFlow,4,Зарядні станції,54,4.425925925925926,4.459860941292407,4.459860941292407,4.43888113213812,4.400460011516725,4.269925421486831,4.108461333007857
EcoFlow DELTA 3 Plus / 1800 Вт / 1024 Вт⋅год / LiFePO4 (EFDELTA3P-EU),EcoFlow,4,Зарядні станції,67,4.477611940298507,4.494594363857909,4.494594363857909,4.454467450639223,4.38610153122337,4.186157622979058,3.951099238296506
EcoFlow DELTA Pro (3600 Вт·год / 3600 Вт),EcoFlow,4,Зарядні станції,242,4.545454545454546,4.545914922349764,4.545914922349764,4.538239279361632,4.521955226975192,4.451655598759712,4.3535463790515445
EcoFlow DELTA Pro 3 (4096 Вт·год / 4000 Вт),EcoFlow,4,Зарядні станції,54,4.425925925925926,4.459860941292407,4.459860941292407,4.43888113213812,4.400460011516725,4.269925421486831,4.108461333007857
EcoFlow Delta 2 1800Вт (1024 Вт/ч),EcoFlow,4,Зарядні станції,242,4.743801652892562,4.729121029219993,4.729121029219993,4.635408046020107,4.4869702785718895,4.131857315941273,3.7332306480059048
EcoFlow RIVER 2 Max 500 Вт 512 Вт/год,EcoFlow,4,Зарядні станції,809,4.526576019777503,4.527176971840335,4.527176971840335,4.511574983237752,4.481535719759402,4.371671995532806,4.22996233163776
EcoFlow RIVER 2 Pro 768Wh | 800W (ZMR620-B-EU),EcoFlow,4,Зарядні станції,808,4.5272277227722775,4.527813659004394,4.527813659004394,4.512203768701475,4.482180473225247,4.372458253440785,4.231075412251456
EcoFlow RIVER 3 UPS 245Wh | 300W (EFRIVER3-UPS-EU-CBox),EcoFlow,4,Зарядні станції,32,4.65625,4.615955954916117,4.615955954916117,4.507851662356928,4.346019986313684,3.9813270011426876,3.5886901311132275
EcoFlow River 2,EcoFlow,4,Зарядні станції,808,4.5272277227722775,4.527813659004394,4.527813659004394,4.512203768701475,4.482180473225247,4.372458253440785,4.231075412251456
EcoFlow River 2 300W LiFePO4 256 Вт.Год,EcoFlow,4,Зарядні станції,2,5.0,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731
EcoFlow River 3 600W LiFePO4 245 Вт.Год,EcoFlow,4,Зарядні станції,4,5.0,4.626237902318253,4.626237902318253,4.626237902318253,4.626237902318253,4.626237902318253,4.626237902318253
"EcoFlow River 3 Plus 600Вт, 286 Вт/год",EcoFlow,4,Зарядні станції,1,5.0,4.572843316935146,4.572843316935146,4.572843316935146,4.572843316935146,4.572843316935146,4.572843316935146
EcoFlow TRAIL 200 DC 60000 mAh 192Wh LiFePO4,EcoFlow,4,Зарядні станції,2,5.0,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731
Ecoflow Delta 3 1500 / 1800 Вт / 1536 Вт⋅год / LiFePO4 (EFDELTA1500-EU),EcoFlow,4,Зарядні станції,65,4.507692307692308,4.517996584183978,4.517996584183978,4.500295676163841,4.467093424105051,4.349570678344403,4.201446105215625
"FlashFish P60 потужністю 560 Вт, сонячний генератор 520 Вт·год/140400 мАг",Flashfish,4,Зарядні станції,2,5.0,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731,4.592259529801731
Fossibot F2400 2400 Вт / 2048 Вт⋅год / LiFePO4 (9007312194749),Fossibot,4,Зарядні станції,127,4.866141732283465,4.82333135820162,4.82333135820162,4.753795373836684,4.641447027195811,4.35268234784155,4.024800415133574
Godwin QX3600/3600W,Godwin,4,Зарядні станції,1,1.0,4.382367126458956,4.382367126458956,4.382367126458956,4.382367126458956,4.382367126458956,4.382367126458956
Golon (RX-1829BT),Golon,76,Портативні колонки,4,5.0,4.598711189220856,4.598711189220856,4.491533842967226,4.323023584021567,3.9983350898191885,3.9576010409450526
HMD 2660 4G Flip DS,HMD,314,Смартфони,27,4.111111111111111,4.266356565821203,4.266356565821203,4.157300500440714,3.999500261915897,3.651232620129184,3.2868827281776154
HMD Pulse 4/64GB,HMD,314,Смартфони,35,4.3428571428571425,4.39125015624721,4.39125015624721,4.3612656481240215,4.310283747404089,4.154790956265051,3.973925110708837
HMD Pulse Pro 8/256GB,HMD,314,Смартфони,168,4.458333333333333,4.460206162731897,4.460206162731897,4.358490192582646,4.20439155936657,3.8496671969961342,3.464676218528436
HOCO BS52,Hoco,76,Портативні колонки,4,3.5,4.348711189220856,4.348711189220856,4.348711189220856,4.348711189220856,4.348711189220856,4.348711189220856
HOCO Dancer Outdoor Wireless Speaker BS37,Hoco,76,Портативні колонки,11,4.090909090909091,4.3667441464935655,4.3667441464935655,4.264818320892498,4.087812102515853,3.644337097813367,3.448559728055403
HOCO HC1,Hoco,76,Портативні колонки,6,4.333333333333333,4.475733405434636,4.475733405434636,4.386443551511924,4.276416455096153,4.072253556216642,4.083135222385691
HOCO Mature outdoor BT speaker BS46,Hoco,76,Портативні колонки,2,5.0,4.562230388240933,4.562230388240933,4.562230388240933,4.562230388240933,4.562230388240933,4.562230388240933
HOCO wireless speaker BS40,Hoco,76,Портативні колонки,5,4.2,4.454762741652021,4.454762741652021,4.454762741652021,4.454762741652021,4.454762741652021,4.454762741652021
HOPESTAR A20 PRO,Hopestar,76,Портативні колонки,7,4.428571428571429,4.495150686714835,4.495150686714835,4.44308722768459,4.360222854797619,4.151352601135768,4.109626924245424
HOPESTAR Party 100,Hopestar,76,Портативні колонки,14,3.2142857142857144,3.9814431923911924,3.9814431923911924,3.8781378349648965,3.7243549341135065,3.3774029095531213,3.0708329942577617
Hoco BS30,Hoco,76,Портативні колонки,3,3.3333333333333335,4.363872545273937,4.363872545273937,4.25279203924808,4.074680072954551,3.7523114535611066,3.7161185910712744
Hoco BS33 Voice Black (721044) [53926],Hoco,76,Портативні колонки,4,5.0,4.598711189220856,4.598711189220856,4.598711189220856,4.598711189220856,4.598711189220856,4.598711189220856
Hoco BS45,Hoco,76,Портативні колонки,11,4.2727272727272725,4.4312602755258235,4.4312602755258235,4.4312602755258235,4.4312602755258235,4.4312602755258235,4.4312602755258235
Hoco HC11 із ліхтариком Bora,Hoco,76,Портативні колонки,16,4.6875,4.593585237258348,4.593585237258348,4.5281806902994,4.423067123525929,4.15025946587668,3.8422842822476415
"Hoco HC3 ""Bounce"" 5W*2",Hoco,76,Портативні колонки,14,4.142857142857143,4.3637961335676625,4.3637961335676625,4.284461338854907,4.1469478322721365,3.785984225031415,3.4214047141979895
Hoco HC7 Pleasant sports,Hoco,76,Портативні колонки,4,5.0,4.598711189220856,4.598711189220856,4.358711189220855,3.9587111892208555,3.298711189220856,3.2387111892208558
Hoco HC8 Pulsating,Hoco,76,Портативні колонки,4,1.0,3.9320445225541882,3.9320445225541882,3.9320445225541882,3.9320445225541882,3.9320445225541882,3.9320445225541882
Hoco HC9 Dazzling,Hoco,76,Портативні колонки,99,4.6767676767676765,4.650160239842862,4.650160239842862,4.5674967824581465,4.439559134861206,4.128824641459233,3.7872489843172756
Hoco Portable Speaker BS47,Hoco,76,Портативні колонки,20,4.1,4.309226713532514,4.309226713532514,4.261387547884335,4.188774830905469,3.9990087392410807,3.7985188714153204
Hopestar A30 55W,Hopestar,76,Портативні колонки,123,4.796747967479675,4.757825654134969,4.757825654134969,4.7307893732316595,4.682944678024949,4.530022435762062,4.345727520245907
Hopestar A6 Pro 45Вт,Hopestar,76,Портативні колонки,12,4.833333333333333,4.636533391915641,4.636533391915641,4.636533391915641,4.636533391915641,4.636533391915641,4.636533391915641
Hopestar A6X,Hopestar,76,Портативні колонки,3,4.666666666666667,4.537785588752197,4.537785588752197,4.537785588752197,4.537785588752197,4.537785588752197,4.537785588752197
Hopestar H20,Hopestar,76,Портативні колонки,13,3.923076923076923,4.283911167918198,4.283911167918198,4.209705347610873,4.104949795474998,3.861052401689967,3.706022289711016
Hopestar H24,Hopestar,76,Портативні колонки,16,5.0,4.732474126147237,4.732474126147237,4.732474126147237,4.732474126147237,4.732474126147237,4.732474126147237
Hopestar H24 Original 10W,Hopestar,76,Портативні колонки,8,5.0,4.656038162189304,4.656038162189304,4.656038162189304,4.656038162189304,4.656038162189304,4.656038162189304
Hopestar H39,Hopestar,76,Портативні колонки,24,3.0,3.6902061032113758,3.6902061032113758,3.644131035021225,3.5589342557152084,3.3045023213802738,2.984756243045302
Hopestar H50,Hopestar,76,Портативні колонки,17,4.0,4.280245095710825,4.280245095710825,4.162253885208156,3.978816646535148,3.5637323310472646,3.1032339742109736
Hopestar Hopestar H37,Hopestar,76,Портативні колонки,11,3.1818181818181817,4.044163501332275,4.044163501332275,3.919936585283228,3.7612375123628956,3.4479792576601325,3.3931130680579655
Hopestar P32,Hopestar,76,Портативні колонки,2,4.0,4.471321297331842,4.471321297331842,4.351321297331842,4.151321297331842,3.8213212973318424,3.7913212973318426
Infinix GT 30 Pro 12/256GB,Infinix,314,Смартфони,16,4.75,4.597743294266571,4.597743294266571,4.597743294266571,4.597743294266571,4.597743294266571,4.597743294266571
Infinix HOT 50 8/128GB,Infinix,314,Смартфони,142,4.732394366197183,4.700733077738251,4.700733077738251,4.620838970378842,4.494345417268716,4.181090861013983,3.830428119610916
Infinix HOT 50 8/256GB,Infinix,314,Смартфони,71,4.732394366197183,4.676030314215346,4.676030314215346,4.596136206855937,4.469642653745811,4.156388097491078,3.805725356088011
Infinix HOT 50 Pro 8/256GB,Infinix,314,Смартфони,38,4.684210526315789,4.612392389544768,4.612392389544768,4.558341447359532,4.470226658048222,4.232731031865633,3.9622934146143685
Infinix HOT 60 Pro 8/128GB,Infinix,314,Смартфони,9,4.777777777777778,4.569612365296432,4.569612365296432,4.466296092830706,4.305424624430179,3.9369134497274985,3.8750763713309793
Infinix HOT 60 Pro 8/256GB,Infinix,314,Смартфони,45,4.777777777777778,4.684903978363024,4.684903978363024,4.570108120067772,4.391362044067186,3.9819051832864307,3.5273439884206015
Infinix HOT 60i 4/128GB,Infinix,314,Смартфони,108,4.777777777777778,4.730615301512473,4.730615301512473,4.672173603110758,4.577346602854166,4.324784845289245,4.038022708919881
Infinix HOT 60i 8/256GB,Infinix,314,Смартфони,108,4.777777777777778,4.730615301512473,4.730615301512473,4.672173603110758,4.577346602854166,4.324784845289245,4.038022708919881
Infinix Note 50 8/256GB,Infinix,314,Смартфони,20,5.0,4.737968964839913,4.737968964839913,4.634602497848167,4.47306086983936,4.094533933553946,3.6736006075500134
Infinix Note 50 Pro 12/256GB,Infinix,314,Смартфони,21,4.333333333333333,4.40289655106333,4.40289655106333,4.29034414197176,4.137011487623521,3.8141111929545843,3.494380054580291
Infinix SMART 10 4/128GB,Infinix,314,Смартфони,36,4.777777777777778,4.6699778320285095,4.6699778320285095,4.6699778320285095,4.6699778320285095,4.6699778320285095,4.6699778320285095
Internal server error Error code 500,Internal,4,Зарядні станції,122,4.868852459016393,4.82415288489886,4.82415288489886,4.760076769611439,4.655824515852618,4.38274344647751,4.071306066305644
JBL Boombox 3 (JBLBOOMBOX3BLKEP),JBL,76,Портативні колонки,16,4.5,4.510251903925015,4.510251903925015,4.448694683257769,4.358680247273975,4.136924938550979,3.9092111399164495
